time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.02,0.0,0.0,10.000521780889052,4.044146831194695e-05,8.572113079807764e-06,0.0,0.0,0.0,0.05217808890515385,0.008993494127604867,0.0041405586772834055,0.0,453.91211261841045,454.9076815939931,453.4642525198936,455.6260331776534
0.04,-1.826493693482939e-08,8.617021975384296e-08,10.001734081814957,0.00023269017826699212,9.140790976047697e-05,0.0,-1.8264936934829391e-06,8.617021975384295e-06,0.06905200368550281,0.004017787664632983,0.003918643671139207,0.0,420.53951976953414,420.4817834363442,422.02467536649,420.7344004973267
0.06,-2.53105827088656e-07,7.633359557103001e-07,10.00332263884614,0.00032884615560924146,0.0002015090405569353,0.0,-2.165759532189972e-05,5.909955162026142e-05,0.08980369943277075,-0.0016036399208095966,-0.004047316079423516,0.0,426.5600749808339,424.51467461496696,424.70597718503586,423.257257386268
0.08,-1.187793016551952e-06,2.7637912279943783e-06,10.005645609847434,0.0002987627867732101,0.00014263959351978883,0.0,-7.181112362442987e-05,0.00014094597560814642,0.14249340069661254,0.0003910678671812384,0.0025975126694700573,0.0,454.19384225550766,455.7895888556486,454.67990950947654,455.1590235306672
0.1,-3.074570738591616e-06,6.526411755635221e-06,10.009692174569137,0.00033271901157494455,0.00020192777941296924,0.0,-0.00011686664857953654,0.0002353160771559378,0.2621630714737012,0.0076208489784325515,0.00642842183138768,0.0,512.3970506299985,513.2132276365988,511.50272283169204,513.0447224159136
0.12000000000000001,-5.891882316053026e-06,1.2023600095790071e-05,10.015350417292462,0.0005381168661884317,0.0004449702839872671,0.0,-0.00016486450916660447,0.00031440275685954723,0.3036612008587792,-0.0026729234150624503,-0.008702610383686273,0.0,446.7300553743157,443.0137320643024,445.7284815096896,443.1978667183962
0.14,-1.0439109451576487e-05,1.9823243883191718e-05,10.02227067537263,0.00048499515134992066,0.00027236206412339925,0.0,-0.00028985820438574177,0.00046556162188061734,0.388364607158021,-0.0018522487380944897,-0.007003205893991286,0.0,483.1272865087975,483.5115896557851,483.4011936835256,483.58670796153075
0.16,-1.692226727738722e-05,3.0356024734147346e-05,10.030594649734056,0.0005552828927690712,0.0001508994042556111,0.0,-0.00035845757819533136,0.0005877164632149454,0.4440328289846063,0.012799216456968021,-0.013102625212636132,0.0,459.7567085221099,458.3049840342943,454.81986311420746,458.32614394785645
0.18,-2.4461820907536322e-05,4.347336552378678e-05,10.039967932464075,0.0008370722835904232,6.283082193033096,0.0,-0.0003954977848195792,0.0007240176157489978,0.49329544401741265,0.019983235065207303,-0.017112351763624942,0.0,453.29930392913724,452.3318916192951,450.29875519246775,452.0384409946317
0.19999999999999998,-3.2077139181535015e-05,6.0345567113543544e-05,10.050729239921449,0.0012516709214205335,6.282760674578011,0.0,-0.0003660340425802901,0.0009632025432266792,0.5828353017199164,0.014518084284918322,-0.023551075268674282,0.0,488.30630566180946,486.8635581409946,488.38749963488397,487.1632237595532
