time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.02,0.0,0.0,10.000875584956555,4.411887969357764e-05,4.271965323709992e-07,0.0,0.0,0.0,0.087558495655449,0.009393495589358739,0.0009243338492785032,0.0,485.2006733031772,485.40877447764285,485.1788708554482,487.2896455269701
0.04,-9.941383361000743e-10,1.0267000380953852e-07,10.002991876603563,0.00023866735700206476,1.892258186941831e-05,0.0,-9.941383361000742e-08,1.026700038095385e-05,0.12407066904519437,0.005738754689926229,0.0010563062036368586,0.0,440.4622631233247,440.49497813935034,439.81872113517545,438.9097447398433
0.06,-5.1171531327420224e-08,9.158112596742742e-07,10.006057935851858,0.0003554655587825195,5.426385125240074e-05,0.0,-4.918325465522007e-06,7.104712520551971e-05,0.1825352557843118,0.007750275498600131,0.006388312450922978,0.0,460.0456580661381,461.31024522248777,459.50420502793867,459.98215547831893
0.08,-2.825202904341379e-07,3.207878970529462e-06,10.010197300809835,0.0005112533107745065,0.00018307326024746828,0.0,-1.8216550445149757e-05,0.0001581596458799991,0.23140124001324136,0.006499482134615995,0.007832722348718495,0.0,450.81706191325696,451.16689156961246,452.1051990984095,451.8027004451514
0.1,-1.109066038072188e-06,7.661860065283129e-06,10.015388078104886,0.000674660504149216,0.0003515239036451234,0.0,-6.443802431865524e-05,0.0002872384635953675,0.2876764894918321,-0.0016757916445286226,0.012689922452253522,0.0,457.48596843465305,458.64442891271415,459.4389428186492,457.49050400423016
0.12000000000000001,-3.112010713051799e-06,1.4777323578797945e-05,10.02121128762741,0.0006480761440847971,0.0006053267372747584,0.0,-0.00013585644317930582,0.00042430788775611424,0.29464446276064504,0.002047506040585129,0.012596278607571594,0.0,411.30836734840227,411.28338512714964,410.4694236405533,411.4593623870035
0.14,-7.2111206646226055e-06,2.4743060202211e-05,10.027425209393394,0.0007002316051991642,0.0008814191832851037,0.0,-0.0002740545519777748,0.0005722657745851913,0.3267477138376606,-0.0026864859962173193,0.01954852628143173,0.0,435.03753103717935,436.78001704398974,436.31296728987473,435.1258184872829
0.16,-1.4499192021760486e-05,3.7623905862022806e-05,10.034048243178313,0.0006465026057220769,0.0012937791529443743,0.0,-0.0004547525837360134,0.0007158187913959893,0.33555566465412157,-0.0026485268912430234,0.026089083448945845,0.0,411.7566874810897,413.4886185964376,413.3947650081948,413.40485186022636
0.18,-2.7129767407603586e-05,5.3706983835847755e-05,10.041530064746713,0.0006040091413517246,0.0018185752372845698,0.0,-0.0008083049548482967,0.0008924890059865057,0.4126264921857991,0.0019290430872655798,0.028544451185742475,0.0,476.30081586871125,476.86382399394756,476.52254993600286,477.57104344975545
0.19999999999999998,-4.893762024425422e-05,7.343057340824956e-05,10.050922883877275,0.000691098251758504,0.0025325367333266513,0.0,-0.0013724803288167665,0.0010798699512536744,0.5266554208703826,0.01177873837816996,0.01162863182473375,0.0,510.1331964525688,506.49725641687434,506.76362134806317,508.88282273201503
0.21999999999999997,-8.212984302799398e-05,9.659505626599198e-05,10.061761522110336,0.000947305032825696,0.0027877709301016296,0.0,-0.001946741949557211,0.0012365783345205678,0.5572084024357086,0.0182024465757462,0.00489638698654576,0.0,435.0218046598617,433.32746020633965,434.05419477550345,435.6681019932313
0.23999999999999996,-0.00012836253771801733,0.00012380647861731807,10.073561492340424,0.001321990962272146,0.002898668936986759,0.0,-0.002676527519445124,0.0014845639006120404,0.6227886205731139,0.01359007236471226,-0.00019679809835398184,0.0,467.8875534461286,466.6965612342786,466.97982885090005,465.8993004537443
0.25999999999999995,-0.00018941595133653216,0.00015692868180164802,10.086650536006028,0.0015950965757154378,0.0029408210296058,0.0,-0.00342881384240636,0.0018276564178209536,0.6861157459872407,0.011975039145720828,0.009404040884414322,0.0,463.9978582525229,466.25322424856967,464.9129709185197,464.53312644009213
0.27999999999999997,-0.0002666590512778958,0.00019818265817268308,10.101357911637146,0.001848529312622027,0.0031300206584639056,0.0,-0.00429549615173,0.0022977412192825546,0.7846218171246285,0.006696411674143922,0.010899909307828913,0.0,495.06314342432137,495.39305033971755,496.27325278784383,495.10955800032355
0.3,-0.00035974858079408233,0.00024837758998508155,10.11738212054893,0.0020467014787808324,0.003351430763401275,0.0,-0.005013456799888647,0.0027217519619572904,0.8177990740537894,-0.00463883712560853,0.008287661700566808,0.0,438.3867057700487,437.7350108659832,438.0451335257868,435.2083908773714
0.32,-0.0004682815725973789,0.0003078592817654621,10.134241850207186,0.002037988075016095,0.0035491164328709246,0.0,-0.005839842380441009,0.003226417216080765,0.868173891771865,0.008327530040848024,0.016279211670180635,0.0,451.3615715098892,453.29191661448743,453.0102951983256,456.12712892980755
0.34,-0.0005934480322735996,0.0003771936060262393,10.15200152773293,0.0022053602055640553,0.0038852490215548485,0.0,-0.006676803587181054,0.003707015209996953,0.9077938608025174,0.007045711230640661,0.011686096108849322,0.0,443.73052626796886,442.59796496986394,444.1095161058371,443.7939148349326
0.36000000000000004,-0.0007374808383904873,0.00045729203427360943,10.170897062240853,0.002398087423508777,0.0042305865329144154,0.0,-0.007726477024507717,0.004302827614740061,0.9817595899897036,-0.0031339737676365706,0.02662701905108453,0.0,473.05579723929645,476.4942038457446,475.84739195744834,473.5040115046555
