time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.02,0.0,0.0,10.00016519272338,6.283124303227405,6.283095512854602,0.0,0.0,0.0,0.016519272337968436,-0.006100395218113723,-0.008979432498485663,0.0,421.7639543987879,419.4313438149558,421.37429551165206,419.78952063514424
0.04,1.806408857907167e-07,-1.227227658903301e-07,10.00054529644977,6.283020417176594,6.282885490163057,0.0,1.806408857907167e-05,-1.2272276589033009e-05,0.021491100301222945,-0.004288209862891064,-0.012022836656002416,0.0,409.7560866808711,408.94388323976904,408.44030917516193,408.92488863974927
0.06,1.2534730661936326e-06,-7.594988050379279e-07,10.001386400621941,6.2828883629644885,6.2825571859958576,0.0,8.921912946121993e-05,-5.140532732572677e-05,0.06261931691576156,-0.008917211347757296,-0.020807580063906334,0.0,445.2507965938934,443.0899907062476,444.90682363351,443.7686607103133
0.08,4.385399990770118e-06,-2.424656693245129e-06,10.002822143851313,6.282701897558095,6.282061136959928,0.0,0.00022397356299642862,-0.00011511046149499332,0.08095500602145182,-0.009729329291456963,-0.028797323529031527,0.0,423.1628908207298,421.09488010785276,422.751617324632,422.54178965600084
0.1,1.1051245398935386e-05,-5.667038383046049e-06,10.004424121191537,6.28252266787964,6.281411306127623,0.0,0.0004426109778200981,-0.00020912770748509872,0.0792427280010009,-0.008193638554013338,-0.03618575970151332,0.0,404.06312293060085,402.0599636282368,401.0712489643075,401.4894980918138
0.12000000000000001,2.4019136987755573e-05,-1.1386910359638455e-05,10.006366967173033,6.282289568363403,6.280692816491978,0.0,0.0008541781810619206,-0.0003628594901741419,0.115041870148563,-0.015116313069605522,-0.0356632038631103,0.0,439.69659252770754,439.825817564738,439.5919085599499,437.86801793231524
0.14,4.750540440419229e-05,-2.094506752865301e-05,10.009274596286884,6.2820057322848974,6.279899521071531,0.0,0.001494448560581751,-0.0005929562267273133,0.17572104123659232,-0.013267294780906377,-0.04366633818166052,0.0,462.849116327505,460.95550837799584,462.2905017851614,462.727415665196
0.16,8.500415262909696e-05,-3.5536041887683683e-05,10.013142976784739,6.281775873358164,6.278931639973573,0.0,0.0022554262619087157,-0.0008661412091757539,0.211117008548727,-0.009718597892472487,-0.05312177161419141,0.0,440.2390453793432,437.88495491602106,438.27623649343025,439.16013955612743
0.18,0.00013676623393414685,-5.506348263476122e-05,10.016967500824592,6.281573633453554,6.277848811357483,0.0,0.002920781868596274,-0.0010866028655319993,0.17133539543657186,-0.01050539256849996,-0.05516108999481155,0.0,361.3814983336956,360.76182606135416,360.48750271684463,360.2490501856834
0.19999999999999998,0.000208344038590891,-8.077061166873819e-05,10.020898629361197,6.2813476563796655,6.276805050432397,0.0,0.004236998597078139,-0.0014841100378656961,0.2217774582239594,-0.012092314820294874,-0.049215002513667554,0.0,452.1848707404361,453.61736028003617,453.1338276827337,452.75114918127184
0.21999999999999997,0.0003102191529312281,-0.00011538804678987676,10.02605779408926,6.2812314466328605,6.275753779010236,0.0,0.00595051283695557,-0.001977633474248161,0.29413901458245584,0.0004713401398398383,-0.05591213970250922,0.0,474.27045803274615,472.72372525699467,470.31825745996696,473.2280933158785
0.23999999999999996,0.00045039102770368355,-0.00016050434366649693,10.032826071075009,6.281279556229512,6.274624958589321,0.0,0.008066674640289977,-0.002533996213413856,0.38268868399231093,0.004339619525294145,-0.056969902388866386,0.0,485.54013045287854,485.3002099882507,487.5551591695517,488.42126492870966
0.25999999999999995,0.0006310370858673119,-0.00021548366539794338,10.040773846563392,6.281408438846313,6.273463802522892,0.0,0.009997931176072863,-0.002963935959730788,0.41208886484586355,0.008548642154934848,-0.05914570425405573,0.0,433.57639679190413,433.0254207323723,432.75776994253135,433.8190812044667
0.27999999999999997,0.0008556616167420243,-0.000279270654947674,10.049590808577435,6.281581364688945,6.272233047194886,0.0,0.012464521911398364,-0.0034147629952422727,0.46960733655853903,0.008743942108332863,-0.06392982854650253,0.0,460.4286582621879,459.28962467035507,459.1404907089946,459.1868422946877
0.3,0.001134666620002467,-0.00035191746092224193,10.059733964322245,6.281761946982169,6.2710075681401065,0.0,0.015435978414645897,-0.00384991760221452,0.5447082379225031,0.009314287213927365,-0.05861807693142745,0.0,473.82415825943156,475.04475800007856,475.90737608737527,476.0381769644829
0.32,0.0014679791724465554,-0.0004317902338705657,10.070685559154246,6.2819684716014805,6.269803267043827,0.0,0.01789527682976294,-0.004137359692617854,0.5504512452775776,0.011338174717339737,-0.06181203269655328,0.0,410.6835777595769,409.83021817472496,409.7223659252502,410.26162310225027
0.34,0.0018635049957977522,-0.0005179581536412256,10.082543703440923,6.282222260602058,6.268573575914248,0.0,0.021657305505356744,-0.004479432284448142,0.6353631833901342,0.014040725340564542,-0.061157080261324055,0.0,484.156545868819,484.3019313529367,483.0495136464704,483.66029571279427
0.36000000000000004,0.0023352874877659723,-0.0006100932210390395,10.09593302775357,6.2825942796466325,6.267318531352419,0.0,0.02552094369146528,-0.004734074455333255,0.7035692478745694,0.023161179116869907,-0.06434737592154033,0.0,469.97538458515027,469.2306361943524,467.9463800231155,470.07103178714004
0.38000000000000006,0.0028812010429022845,-0.0007060968724737946,10.110279327436304,6.28302219789923,6.266102012073475,0.0,0.029070411822165944,-0.004866290688142255,0.7310607203988105,0.019630646142927716,-0.05730455197301431,0.0,431.3646781942652,433.1417988701906,431.8243831833552,430.9301880998005
